osm_type,osm_id,name,brand,lat,lon
node,9300286790,Shell,Shell,41.0716662,28.6938781
node,9300286799,BP Esenyurt Akçaburgaz,BP,41.0672924,28.6494303
node,9300325252,Shell,Shell,40.9810361,29.1311204
node,9300325253,BP Kayışdağı,BP,40.9793625,29.1271977
node,9300325266,Türkiye Petrolleri,Türkiye Petrolleri,40.9790501,29.1046565
node,9300325267,Shell,Shell,40.9853132,29.107179
node,9300325268,Petrol Ofisi,Petrol Ofisi,40.9859873,29.108754
node,9308327027,Energy Çantaköy Petrol,Energy,41.0845731,28.0373748
node,9308416862,Petrol Ofisi,Petrol Ofisi,41.226284,28.06388
node,9308416863,Opet Erdağı Petrol,Opet,41.2038763,28.0768099
node,9308416864,,,41.2306434,28.1142936
node,9308433308,Petrol Ofisi,Petrol Ofisi,40.8895343,29.2067711
node,9308461062,Aytemiz,Aytemiz,40.8970717,29.2257208
node,9308541967,Petrol Ofisi,Petrol Ofisi,40.9478483,29.1064953
node,9308547296,Petrol Ofisi,Petrol Ofisi,40.9806612,29.0418373
node,9308547309,Opet Kızıltoprak,Opet,40.9839354,29.0400899
node,9311013308,Opet Sultangazi,Opet,41.1088426,28.8596474
node,9311013309,Shell,Shell,41.093562,28.8634524
node,9311065220,Shell,Shell,41.098707,28.9003775
node,9311065240,Kadoil,Kadoil,41.0806741,28.9072787
node,9311068418,Petrol Ofisi,Petrol Ofisi,41.104532,28.8042785
node,9311073254,Shell,Shell,41.2345213,28.8880194
node,9311075163,,,41.1775159,28.7479725
node,9311088544,Petrol Ofisi,Petrol Ofisi,41.1568163,28.6723328
node,9311961842,Opet Ümraniye,Opet,41.0141227,29.1637819
node,9311961843,,,41.0157593,29.1531253
node,9311961844,,,41.0160928,29.1503703
node,9311961845,Opet Ortaş,Opet,41.01646,29.1460319
node,9311961846,Erk Petrol,Petrol Ofisi,41.0055207,29.1463068
node,9311961847,Petrol Ofisi,Petrol Ofisi,41.0132643,29.1072865
node,9312145700,Petrol Ofisi,Petrol Ofisi,40.8967672,29.203426
node,9312156123,,,41.1661931,29.056493
node,9312162023,,,40.9585228,29.2148183
node,9312167478,BP,BP,41.0033205,28.8663906
node,9312167479,Shell,Shell,41.0069657,28.8713178
